passenger,name,package,luggage,station,bureau,address
True,高滩,False,False,True,西安铁路局,陕西省安康市紫阳县高滩镇高滩火车站
True,韩城,True,True,True,西安铁路局,陕西省韩城市新城区普照路
True,日喀则,True,True,True,青藏铁路公司,西藏自治区日喀则市
True,西宁,True,True,True,青藏铁路公司,青海省西宁市互助中路128号
True,西宁西,True,True,True,青藏铁路公司,青海省西宁市城北区大堡子乡
True,协荣,False,False,True,青藏铁路公司,西藏自治区拉萨市堆龙德庆县协荣乡
,,,,,,
True,精河南,False,False,True,乌鲁木齐铁路局,新疆精河县
True,喀什,True,True,True,乌鲁木齐铁路局,新疆维吾尔自治区喀什地区喀什市
True,克拉玛依,True,True,True,乌鲁木齐铁路局,新疆维吾尔自治区克拉玛依市
True,库车,True,True,True,乌鲁木齐铁路局,新疆维吾尔自治区阿克苏地区库车县
True,库尔勒,True,True,True,乌鲁木齐铁路局,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市
True,奎屯,True,True,True,乌鲁木齐铁路局,新疆奎屯市
True,柳园,True,True,True,乌鲁木齐铁路局,甘肃省瓜州县柳园镇
True,锦界,False,False,False,西安铁路局,陕西省神木县锦界镇神府经济开发区
True,巨亭,False,False,False,西安铁路局,陕西省汉中市宁强县巨亭乡
True,乐素河,False,False,False,西安铁路局,陕西省汉中市略阳县乐素河镇
True,冷水,False,False,False,西安铁路局,陕西省安康市白河县冷水镇
True,两当,False,False,False,西安铁路局,甘肃省两当县站儿巷镇
True,刘家沟,False,False,False,西安铁路局,陕西省黄陵县田庄镇刘家沟村
True,固始,False,False,True,武汉铁路局,河南省信阳市固始县段集镇火车站
True,广水,False,False,True,武汉铁路局,湖北省随州市广水市武胜关镇
True,汉川车,False,False,True,武汉铁路局,湖北省汉川市马口镇八大村
True,汉口车,True,True,True,武汉铁路局,湖北省武汉市江汉区金家墩特1号
True,贺胜桥东,False,False,True,武汉铁路局,湖北省咸宁市贺胜桥镇
True,横沟桥东,False,False,True,武汉铁路局,湖北省咸宁市横沟桥镇
True,红安（西）,False,False,True,武汉铁路局,湖北省红安县八里湾镇柯家湾
True,怀化,True,True,True,广铁集团,湖南省怀化市鹤洲路1号
True,会同,False,False,True,广铁集团,湖南省会同县林城镇建设路
True,惠东,False,False,True,广铁集团,广东省惠东县稔山镇
True,惠州,True,True,True,广铁集团,广东省惠州市江北
True,惠州南,False,False,True,广铁集团,广东省惠州市惠阳区
True,惠州西,False,False,True,广铁集团,广东省惠州市惠城区共联村
True,吉首,True,True,True,广铁集团,湖南省吉首市光明东路
True,上街,False,False,False,郑州铁路局,河南省郑州市上街区工业路
True,狮子营,False,False,False,郑州铁路局,河南省获嘉县黄堤镇
True,算王庄,False,False,False,郑州铁路局,山东省荷泽市牡丹区吕陵镇
True,王庄,False,False,False,郑州铁路局,河南省孟津县白鹤镇王庄村
True,文庄村,False,False,False,郑州铁路局,河南省长垣县方里乡文庄村
True,西武匠,False,False,False,郑州铁路局,山西省晋城市城区西武匠村
True,锡铁山,False,False,False,青藏铁路公司,青海省海西州德令哈市大柴旦镇
True,饮马峡,False,False,False,青藏铁路公司,青海省海西州德令哈市大柴旦镇
,,,,,,
True,进贤,False,False,True,南昌铁路局,江西省进贤县中山路火车站
True,晋江,False,False,True,南昌铁路局,福建省晋江市内坑镇上方村
True,井冈山,False,False,True,南昌铁路局,江西省井冈山市拿山乡火车站
True,景德镇,True,True,True,南昌铁路局,江西省景德镇市通站路32号
True,九江,True,True,True,南昌铁路局,江西九江市长虹大道288号
True,来舟,False,False,True,南昌铁路局,福建省南平市来舟镇站前路9号
True,乐平市,False,False,True,南昌铁路局,江西省乐平市迎宾路1号
True,洛阳东,False,False,True,郑州铁路局,河南省洛阳市瀍河区大同街38号
True,洛阳龙门站,False,False,True,郑州铁路局,河南省洛阳市洛龙区通衢路19号
True,民权,True,True,True,郑州铁路局,河南省商丘市民权县城和平西路
True,内乡,False,False,True,郑州铁路局,河南省内乡县
True,南阳,True,True,True,郑州铁路局,河南省南阳市卧龙区铁东街3号
True,融安,True,True,True,南宁铁路局,广西壮族自治区融安县东兴路001号
True,融水,False,False,True,南宁铁路局,广西壮族自治区融水县大旗山路31号
True,三江县,False,False,True,南宁铁路局,广西壮族自治区三江县古宜镇
True,双牌,False,False,True,南宁铁路局,湖南省双牌县双白路7号
True,遂溪,False,False,True,南宁铁路局,广东省遂溪县文仓路18号
True,藤县,False,False,True,南宁铁路局,广西壮族自治区滕州镇礼秀新村
True,富锦,False,False,True,哈尔滨铁路局,黑龙江省富锦市锦绣大街站前路
True,富拉尔基,True,True,True,哈尔滨铁路局,黑龙江省齐齐哈尔市富拉尔基区安全路84号
True,富裕,True,True,True,哈尔滨铁路局,黑龙江省富裕县站前街富裕车站
True,甘河,True,True,True,哈尔滨铁路局,内蒙古自治区呼伦贝尔盟鄂伦春自治旗甘河镇
True,根河,True,True,True,哈尔滨铁路局,内蒙古自治区呼伦贝尔盟根河市
True,沟口,False,False,True,哈尔滨铁路局,内蒙古自治区博克图镇沟口村沟口站
True,古城镇,False,False,True,哈尔滨铁路局,黑龙江省牡丹江市林口县古城镇
True,古莲,True,True,True,哈尔滨铁路局,黑龙江省大兴安岭地区漠河县古莲镇
True,安塘,False,False,True,太原铁路局,山西省忻州市岢岚县神堂坪乡
True,白壁关,False,False,True,太原铁路局,山西省孝义市高阳镇善吉村
True,播明,False,False,True,太原铁路局,山西省忻州市忻府区播明镇
True,大英东,False,False,True,成都铁路局,四川省遂宁市大英县蓬莱区镇双桥路
True,德昌,True,True,True,成都铁路局,四川省凉山州德昌县德州镇
True,德阳,False,False,True,成都铁路局,四川省德阳市黄山路三段100号
True,都江堰,False,False,True,成都铁路局,四川省成都市都江堰市永安大道紫荆城旁
True,都匀,True,True,True,成都铁路局,贵州省都匀市小围寨王家司村
True,独山,False,False,True,成都铁路局,贵州省独山县麻万镇
True,峨边,False,False,True,成都铁路局,四川省乐山市峨边彝族自治县沙坪镇马嘶溪路5号
True,峨眉,True,True,True,成都铁路局,四川省峨眉山市胜利镇南陈街
True,丰都,False,False,True,成都铁路局,重庆市丰都县三合街道
True,黄山站（既有）,True,True,True,上海铁路局,安徽省黄山市屯溪区站前路4号
True,铜陵站（既有）,True,True,True,上海铁路局,安徽省铜陵市陵江大道中路5708号
True,池州站（既有）,True,True,True,上海铁路局,安徽省池州市站前区永明路
True,绩溪县站（既有）,True,True,True,上海铁路局,安徽省宣城市绩溪县阳之南路绩溪县站
True,祁门站（既有）,True,True,True,上海铁路局,安徽省黄山市祁门县五里牌火车站路10号
True,宁国站（既有）,True,True,True,上海铁路局,安徽省宣城市宁国市迎宾路101号
True,广德站（既有）,False,False,True,上海铁路局,安徽省广德县横山北路
True,歙县站（既有）,False,False,True,上海铁路局,安徽省黄山市歙县新安路89号
True,艾河,False,False,False,北京铁路局,河北省涞源县北石佛乡艾河村艾河火车站
True,安家庄,False,False,False,北京铁路局,北京市门头沟区王平镇安家庄火车站
True,白旗,False,False,False,北京铁路局,河北省承德市滦平县红旗镇北白旗村
True,板城,False,False,False,北京铁路局,河北省保定市涞水县赵各庄镇板城火车站
True,暴河,False,False,False,北京铁路局,河北省承德市平泉县康杖子村暴河乘降所
True,八达岭站,False,False,True,北京铁路局,北京市延庆县八达岭镇
True,霸州站,True,True,True,北京铁路局,河北省霸州市迎宾路火车站
True,大湾子,False,False,False,昆明铁路局,云南省楚雄州元谋县江边乡大湾子火车站
True,都格,False,False,False,昆明铁路局,贵州省六盘水市水城县都格镇垭口乡都格火车站
True,革居,False,False,False,昆明铁路局,贵州省兴义市乌沙镇革居火车站
True,广南卫,False,False,False,昆明铁路局,云南省昆明市呈贡区广南卫火车站
True,红江,False,False,False,昆明铁路局,云南省楚雄州元谋县江边乡红江火车站
True,花家庄,False,False,False,昆明铁路局,贵州省盘县沙坡镇花家庄火车站
True,花棚子,False,False,False,昆明铁路局,四川省攀枝花市仁和区大龙潭乡花棚子村花棚子火车站
True,黄瓜园,False,False,False,昆明铁路局,云南省楚雄州元谋县黄瓜园镇黄瓜园火车站
True,白音特拉,False,False,False,呼和浩特铁路局,内蒙古自治区乌兰察布市化德县境内
True,白音乌拉,False,False,False,呼和浩特铁路局,内蒙古自治区赤峰市克什克腾旗经棚镇白土井子村白音乌拉火车站
True,白银哈尔,False,False,False,呼和浩特铁路局,内蒙古自治区锡林郭勒盟苏尼特右旗
True,白云鄂博南,False,False,False,呼和浩特铁路局,内蒙古自治区包头市白云区
True,半截店,False,False,False,呼和浩特铁路局,内蒙古自治区通辽市丰田镇半截店林场半截店火车站
True,宝木吐,False,False,False,呼和浩特铁路局,内蒙古自治区赤峰市巴林右旗巴彦塔拉苏木宝木吐村宝木吐火车站
True,保健,False,False,False,呼和浩特铁路局,内蒙古自治区乌兰察布市化德县七号镇境内
