start,code,end,train_no
绍兴北,G40,北京南,5t00000G4001
北京,D41,大连北,2400000D410H
北京南,G41,杭州东,2400000G410G
北京,K41,敦煌,2400000K4103
北京西,T41,西安,2400000T410Q
上海,Z41,乌鲁木齐,5500000Z4061
大连北,D42,北京,1g00000D3906
西安,T42,北京西,4100000T420H
杭州东,G42,北京南,5600000G4261
敦煌,K42,北京,8b00000K4301
乌鲁木齐,Z42,上海,9300000Z4204
大连北,D43,北京,1g00000D430A
北京南,G43,杭州东,2400000G4307
北京西,Z43,西安,2400000Z4303
敦煌,K43,北京,8b00000K4301
北京,D44,大连北,2400000D450C
北京,K44,敦煌,2400000K4103
西安,Z44,北京西,4100000Z4405
杭州东,G44,北京南,5600000G4495
北京,D45,大连北,2400000D450C
北京南,G45,江山,2400000G4503
北京,K45,福州,2400000K4515
武昌,Z45,杭州,3900000Z4500
大连北,D46,北京,1g00000D430A
江山,G46,北京南,5600000G4620
杭州,Z46,武昌,5600000Z4770
福州,K46,北京,5800000K460C
齐齐哈尔,K47,杭州,0400000K5006
大连北,G47,哈尔滨西,1g00000G4702
北京,T47,齐齐哈尔,2400000T472D
杭州,Z47,武昌,5600000Z4770
齐齐哈尔,T48,北京,0400000T4805
哈尔滨西,G48,大连北,0h00000G4802
武昌,Z48,杭州,3900000Z4500
杭州,K48,齐齐哈尔,5600000K4811
大连北,G49,哈尔滨西,1g00000G4902
北京西,T49,恩施,2400000T490C
北京西,Z49,成都,2400000Z490D
杭州,K49,齐齐哈尔,5600000K4811
齐齐哈尔,K50,杭州,0400000K5006
哈尔滨西,G50,大连北,0h00000G5002
恩施,T50,北京西,4200000T5007
成都,Z50,北京西,7600000Z5003
北京,D51,沈阳北,2400000D510P
北京,K51,日照,2400000K510Z
北京,Z51,南通,2400000Z510D
天津西,G51,宁波,2500000G510B
沈阳北,D52,北京,1200000D5206
日照,K52,北京,4700000K5205
宁波,G52,天津西,5e00000G5231
南通,Z52,北京,5f00000Z5210
北京,K53,沈阳北,2400000K530G
北京西,Z53,昆明,2400000Z530O
天津西,G53,杭州东,2500000G530B
沈阳北,K54,北京,1200000K540B
杭州东,G54,天津西,5600000G5443
昆明,Z54,北京西,8000000Z5402
大连,K55,包头,1300000K5504
北京南,G55,福州,2400000G5509
北京西,Z55,兰州,2400000Z550J
天津西,T55,宝鸡,2500000T5810
包头,K56,大连,3300000K5604
宝鸡,T56,天津西,4100000T5620
福州,G56,北京南,5800000G5609
兰州,Z56,北京西,8500000Z5663
北京南,G57,宁波,2400000G570A
包头,K57,大连,3300000K5604
宝鸡,T57,天津西,4100000T5620
福州,Z57,北京西,5800000Z600B
大连,K58,包头,1300000K5504
北京西,Z58,福州,2400000Z590I
天津西,T58,宝鸡,2500000T5810
宁波,G58,北京南,5e00000G5831
北京南,G59,宁波,2400000G5908
北京西,Z59,福州,2400000Z590I
南通,K59,西安,5f00000K6270
西安,K60,南通,4100000K6010
福州,Z60,北京西,5800000Z600B
宁波,G60,北京南,5e00000G6021
北京,Z61,长春,2400000Z610F
西安,K61,南通,4100000K6010
济南西,G61,南昌西,4p00000G6109
长春,Z62,北京,1100000Z6208
南通,K62,西安,5f00000K6270
南昌西,G62,济南西,5u00000G6208
北京,T63,合肥,2400000T630T
北京,Z63,长春,2400000Z6307
济南,G63,温州南,4700000G6308
长春,Z64,北京,1100000Z6402
合肥,T64,北京,5300000T6490
温州南,G64,济南西,5j00000G641D
北京西,G65,广州南,2400000G650C
北京,T65,南京,2400000T650I
北京西,Z65,南昌,2400000Z650G
南京,T66,北京,5400000T66D0
南昌,Z66,北京西,5700000Z660E
广州南,G66,北京西,6c00000G6605
北京西,G67,广州南,2400000G670B
北京西,Z67,南昌,2400000Z670J
青岛,K67,福州,4900000K7005
南昌,Z68,北京西,5700000Z680G
福州,K68,青岛,5800000K680D
广州南,G68,北京西,6c00000G680B
北京西,G69,广州南,2400000G6907
北京西,Z69,乌鲁木齐,2400000Z6909
福州,K69,青岛,5800000K680D
青岛,K70,福州,4900000K7005
广州南,G70,北京西,6c00000G7009
乌鲁木齐,Z70,北京西,9300000Z7002
北京西,G71,福田,2400000G710E
北京,Z71,三明北,2400000Z7105
上海南,K71,重庆北,5500000K7123
三明北,Z72,北京,5u00000Z7203
福田,G72,北京西,6i00000G7210
重庆北,K72,上海南,7700000K7306
北京,D73,吉林,2400000D730E
郑州东,G73,深圳北,3800000G7309
重庆北,K73,上海南,7700000K7306
吉林,D74,北京,1800000D740A
上海南,K74,重庆北,5500000K7123
深圳北,G74,郑州东,6i00000G7407
长春,K75,宁波,1100000K750B
北京西,Z75,兰州,2400000Z7503
安阳东,G75,深圳北,3800000G7506
宁波,K76,长春,5e00000K76B2
深圳北,G76,郑州东,6i00000G7606
兰州,Z76,北京西,8500000Z7600
北京西,Z77,贵阳,2400000Z770D
武汉,G77,深圳北,4e00000G7703
上海南,T77,桂林北,5500000T7790
宁波,K77,长春,5e00000K76B2
长春,K78,宁波,1100000K750B
深圳北,G78,武汉,6i00000G7806
桂林北,T78,上海南,7100000T780D
贵阳,Z78,北京西,7800000Z7802
北京西,G79,福田,2400000G7920
北京,Z79,大连,2400000Z7909
上海南,K79,昆明,5500000K79B5
南宁,T79,上海南,7100000T820B
大连,Z80,北京,1300000Z8101
上海南,T80,南宁,5500000T8160
福田,G80,北京西,6i00000G8009
昆明,K80,上海南,8000000K800I
大连,Z81,北京,1300000Z8101
北京西,G81,贵阳北,2400000G8107
西安,K81,广州,4100000K840J
上海南,T81,南宁,5500000T8160
杭州东,D81,九江,5600000D8130
北京,Z82,大连,2400000Z7909
九江,D82,杭州东,5700000D8305
广州,K82,西安,6300000K820I
南宁,T82,上海南,7100000T820B
贵阳北,G82,北京西,7800000G8200
北京西,G83,长沙南,2400000G830L
九江,D83,杭州东,5700000D8305
广州,K83,西安,6300000K820I
西安,K84,广州,4100000K840J
杭州东,D84,九江,5600000D8130
长沙南,G84,北京西,6c00000G8405
上海虹桥,G85,广州南,5l00000G8523
广州,K85,九江,6300000K850K
九江,K86,广州,5700000K870B
广州南,G86,上海虹桥,6c00000G8608
北京西,G87,西安北,2400000G8706
九江,K87,广州,5700000K870B
西安北,G88,北京西,4f00000G8807
广州,K88,九江,6300000K850K
北京西,K89,呼和浩特,2400000K890J
石家庄,Z89,广州,2600000Z8903
呼和浩特,K90,北京西,3300000K900C
广州,Z90,石家庄,6300000Z9001
北京西,G91,太原南,2400000G9105
西安,Z91,上海,4100000Z940C
泰州,K91,深圳东,5f00000K94B1
太原南,G92,北京西,2700000G9214
上海,Z92,西安,5500000Z9230
深圳东,K92,泰州,6500000K9209
郑州东,G93,广州南,3800000G9310
上海,Z93,西安,5500000Z9230
深圳东,K93,泰州,6500000K9209
西安,Z94,上海,4100000Z940C
泰州,K94,深圳东,5f00000K94B1
广州南,G94,郑州东,6c00000G9409
北京,K95,抚顺北,2400000K9504
北京西,Z95,重庆北,2400000Z9501
汉口,T95,深圳,3900000T9501
西安北,G95,广州南,4f00000G980C
抚顺北,K96,北京,1200000K960R
深圳,T96,汉口,6500000T9608
广州南,G96,西安北,6c00000G960B
重庆北,Z96,北京西,7700000Z9601
